,name,url
34,Principal Figures of Financial Institutions[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/md13_m_1_en.html
35,Principal Accounts/percentage changes from the previous year(Domestically Licensed Banks)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bs02_m_1_en.html
36,Households Financial Assets(Flow of Funds Accounts)[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/ff_q_1_en.html
37,TANKAN/Judgement Survey/Business Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_1_en.html
38,TANKAN/Judgement Survey/Domestic Supply & Demand Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_2_en.html
39,TANKAN/Judgement Survey/Change in Output Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_3_en.html
40,TANKAN/Judgement Survey/Change in Input Prices[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_4_en.html
41,TANKAN/Judgement Survey/Production Capacity[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_5_en.html
42,TANKAN/Judgement Survey/Employment Conditions[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_6_en.html
43,TANKAN/Judgement Survey/Financial Position[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_7_en.html
44,TANKAN/Judgement Survey/Lending Attitude[Quarterly],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_q_8_en.html
45,TANKAN/Annual Projections/Fixed Investment[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_1_en.html
46,TANKAN/Annual Projections/Current Profits[Fiscal Year],https://www.stat-search.boj.or.jp/ssi/mtshtml/co_fy_2_en.html
47,Corporate Goods Price Index(CGPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr01_m_1_en.html
48,Services Producer Price Index(SPPI)[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/pr02_m_1_en.html
49,Balance of Payments[Monthly],https://www.stat-search.boj.or.jp/ssi/mtshtml/bp01_m_1_en.html
